"post_title,post_name,post_status,sku,downloadable,virtual,visibility,stock,stock_status,backorders,manage_stock,regular_price,sale_price,weight,length,width,height,tax_status,tax_class,tax:product_type,tax:product_cat,tax:product_tag,tax:product_brand,post_image"
"CHUỘT MÁY TÍNH GALAX SLIDER-03 RGB GAMING,chuột-galax-slider-03,publish,GL-SLIDER,no,no,visible,45,instock,no,no,550000,499000,,,,,taxable,,simple,""Gaming Gear"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Galax+Slider"""
"CHUỘT FUHLEN G90 PRO X BLACK,chuột-fuhlen-g90-pro-x,publish,FL-G90,no,no,visible,60,instock,no,no,500000,450000,,,,,taxable,,simple,""Gaming Gear"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Fuhlen+G90"""
"CHUỘT LOGITECH G502 HERO,chuột-logitech-g502-hero,publish,LT-G502,no,no,visible,30,instock,no,no,1500000,1290000,,,,,taxable,,simple,""Gaming Gear"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Logitech+G502"""
"MÀN HÌNH GAMING GIGABYTE G25F2-EK1 (24.5 INCH),màn-hình-gigabyte-g25f2-ek1,publish,GB-G25F2,no,no,visible,15,instock,no,no,5990000,5390000,,,,,taxable,,simple,""Màn Hình Máy Tính"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Gigabyte+G25F2"""
"MÀN HÌNH ĐỒ HỌA ASUS PROART PA247CV (23.8 INCH),màn-hình-asus-proart-pa247cv,publish,ASUS-PA247CV,no,no,visible,10,instock,no,no,5890000,5390000,,,,,taxable,,simple,""Màn Hình Máy Tính"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=ASUS+PA247CV"""
"MÀN HÌNH CONG DELL ULTRASHARP U3824DW (38 INCH),màn-hình-dell-ultrasharp-u3824dw,publish,DL-U3824DW,no,no,visible,4,instock,no,no,34000000,30990000,,,,,taxable,,simple,""Màn Hình Máy Tính"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Dell+U3824DW"""
"MÀN HÌNH DELL PRO P2725H PLUS (27 INCH),màn-hình-dell-p2725h-plus,publish,DL-P2725H,no,no,visible,20,instock,no,no,6000000,5590000,,,,,taxable,,simple,""Màn Hình Máy Tính"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Dell+P2725H"""
"MÀN HÌNH SAMSUNG ODISSEY G7 (27 INCH),màn-hình-samsung-odyssey-g7,publish,SM-G7,no,no,visible,8,instock,no,no,12000000,10990000,,,,,taxable,,simple,""Màn Hình Máy Tính"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Samsung+G7"""
"MÀN HÌNH ASUS ROG SWIFT PG279QM (27 INCH),màn-hình-asus-rog-swift-pg279qm,publish,ASUS-PG279QM,no,no,visible,5,instock,no,no,18000000,16900000,,,,,taxable,,simple,""Màn Hình Máy Tính"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=ASUS+PG279QM"""
"MÀN HÌNH LG ULTRAGEAR 27GP850-B (27 INCH),màn-hình-lg-ultragear-27gp850b,publish,LG-27GP850,no,no,visible,12,instock,no,no,7500000,6990000,,,,,taxable,,simple,""Màn Hình Máy Tính"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=LG+27GP850"""
"MÀN HÌNH BENQ ZOWIE XL2546K (24.5 INCH),màn-hình-benq-zowie-xl2546k,publish,BQ-XL2546K,no,no,visible,6,instock,no,no,9500000,8990000,,,,,taxable,,simple,""Màn Hình Máy Tính"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=BenQ+XL2546K"""
"Ổ CỨNG HDD WESTERN DIGITAL BLUE 4TB (3.5 INCH),ổ-cứng-hdd-wd-blue-4tb,publish,WD-4TB,no,no,visible,30,instock,no,no,4000000,3500000,,,,,taxable,,simple,""HDD - SSD - NAS"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=WD+4TB"""
"Ổ CỨNG HDD SEAGATE BARRACUDA 20TB (3.5 INCH),ổ-cứng-hdd-seagate-barracuda-20tb,publish,ST-20TB,no,no,visible,5,instock,no,no,16000000,14990000,,,,,taxable,,simple,""HDD - SSD - NAS"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Seagate+20TB"""
"Ổ CỨNG SSD WD_BLACK SN850X 2TB (NVMe),ổ-cứng-ssd-wd-black-sn850x-2tb,publish,WD-SN850X-2TB,no,no,visible,20,instock,no,no,6500000,5990000,,,,,taxable,,simple,""HDD - SSD - NAS"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=WD+SN850X"""
"Ổ CỨNG SSD SAMSUNG 980 PRO 1TB (NVMe),ổ-cứng-ssd-samsung-980-pro-1tb,publish,SM-980PRO-1TB,no,no,visible,25,instock,no,no,4500000,3990000,,,,,taxable,,simple,""HDD - SSD - NAS"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Samsung+980"""
"Ổ CỨNG SSD KINGSTON FURY RENEGADE 2TB,ổ-cứng-ssd-kingston-fury-renegade-2tb,publish,KS-RN-2TB,no,no,visible,15,instock,no,no,5200000,4690000,,,,,taxable,,simple,""HDD - SSD - NAS"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Kingston+RN"""
"Ổ CỨNG HDD SEAGATE IRONWOLF PRO 4TB (NAS),ổ-cứng-hdd-seagate-ironwolf-pro-4tb,publish,ST-NAS-4TB,no,no,visible,10,instock,no,no,6500000,5990000,,,,,taxable,,simple,""HDD - SSD - NAS"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=IronWolf+4TB"""
"Ổ CỨNG SSD CRUCIAL P5 PLUS 1TB,ổ-cứng-ssd-crucial-p5-plus-1tb,publish,CT-P5PLUS-1TB,no,no,visible,40,instock,no,no,3200000,2890000,,,,,taxable,,simple,""HDD - SSD - NAS"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Crucial+P5"""
"Ổ CỨNG SSD LEXAR NM790 2TB,ổ-cứng-ssd-lexar-nm790-2tb,publish,LX-NM790-2TB,no,no,visible,18,instock,no,no,4800000,4290000,,,,,taxable,,simple,""HDD - SSD - NAS"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Lexar+NM790"""
